Warehouse,Class,Asset/SSE #,Serial#,Manuf,Model,Model#,Cond,Screen Size,Notes/Comments,No SKU,Price
Sage - CMH,Monitors,1177043,CN0T6116716185ACADLV,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1177170,CN0T6116716185ACADM7,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179981,MX0FF491483235AC34SA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179986,CN0T61167161857MB779,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180048,CN0T61167161857MBBGY,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180053,CN0T611671618593AB0B,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180057,CN0T6116716185ACADLX,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180061,CN0T61167161857MB434,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180109,CN0T611671618593AAKY,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180110,CN0T611671618513AGEZ,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1182825,cn0t6116716185aablbw,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1186587,CN0T61167161859DAJ1N,Dell,1905FP,1905FP,C,19,Missing Base,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188197,CN0T6116716185ALBMLR,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188201,CN0T611671618586BEHK,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188285,CN0T611671618586BEPG,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188289,CN0T61167161857MBBNZ,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188296,CN0T6116716185ALBKP7,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188297,CN0T61167161859MAENQ,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188548,CN0T61167161859HACA6,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188551,CN0T6116716185ALBKPS,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188652,CN0T611671618516AFHQ,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1188872,CN0T61167161857MB032,Dell,1905FP,1950FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176676,CN0T61167161859HABJC,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1177021,CN0T6116716185ACADM6,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179987,MX0FF491483235AQ0NVA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179990,MX0FF491483235AQ04AA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179996,MX0FF491483235B94DJA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1179997,CN0T61167161857MB427,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180000,MX0FF491483235B95KVA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180226,MX0FF491483235AC32XA,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180247,CN0T61167161857MBBDR,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1180248,CN0T61167161857MB428,Dell,1905FP,1905FP,C,19,,DELL-1905FP-MON-C,60
Sage - CMH,Monitors,1176623,CN0T61167161857KAB4Z,Dell,1905FPt,1905FPt,C,19,,DELL-1905FPT-MON-C,60
Sage - CMH,Monitors,1176668,MX0FF491483235AC4VXA,Dell,1905FPt,1905FPt,C,19,,DELL-1905FPT-MON-C,60
Sage - CMH,Monitors,1176873,CN0CC2996418066M161L,Dell,1907FPc,1907FPc,C,19,,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1176874,CN0CC2996418068U83CL,Dell,1907FPc,1907FPc,C,19,,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1177036,CN0CC2996418065E1H9L,Dell,1907FPc,1907FPc,C,19,,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1180227,CN0CC2996418065E29HL,Dell,1907FPc,1907FPc,C,19,,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1186463,CN0CC2996418065E1GVL,Dell,1907FPc,1907FPc,C,19,,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1186568,CN0CC2996418065J12TS,Dell,1907FPc,1907FPc,C,19,Missing Base,DELL-1907FPC-MON-C,60
Sage - CMH,Monitors,1176836,CN0CJ319728726B21T7L,Dell,1907FPf,1907FPf,C,19,,DELL-1907FPF-MON-C,60
Sage - CMH,Monitors,1180001,CN0CJ319728726A40DFL,Dell,1907FPf,1907FPf,C,19,,DELL-1907FPF-MON-C,60
Sage - CMH,Monitors,1176619,CN0DC3237161867BB480,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1176653,CN0CC2996418063N2BKS,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1176657,CN0CC2996418066N11AL,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1176864,CN0DC3237161865PBBAL,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180005,CN0DC32371618647BBKJ,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180089,CN0DC32371618647BBJW,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180221,CN0DC32371618646AFK8,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180223,CN0DC3237161865PBAZA,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180224,CN0DC32371618695ACHZ,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1184805,CN0DC32371618622AHHC,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1186554,CN0DC3237161867GBADW,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1186566,CN0DC32371618646AFK3,Dell,1907FPt,1907FPt,C,19,Missing Base,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188188,CN0DC3237161869LGJUL,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188556,CN0DC3237161865HBFT9,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188561,CN0DC3237161862KANDP,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188584,CN0DC32371618647BGUJ,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188870,CN0DC32371618647BGS0,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188874,CN0DC32371618696AAH3,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1176652,CN0DC3237161865HBL38,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1176867,CN0DC32371618652BH4Y,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1179855,CN0DC3237161865PBB6R,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1179857,CN0DC3237161862MABD5,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1179984,CN0DC3237161865HBJB1,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180010,CN0DC323716186A3AHPX,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1180036,CN0DC32371618647BGV2,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188577,CN0DC32371618696AAJ1,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1188583,CN0DC3237161862KANDS,Dell,1907FPt,1907FPt,C,19,,DELL-1907FPT-MON-C,60
Sage - CMH,Monitors,1182823,CN0C553H71618865AALDA02,Dell,1907FPVT,1907FPVT,C,19,,DELL-1907FPVT-MON-C,60
Sage - CMH,Monitors,1182824,cn0cc388716187bba677,Dell,1907FPVT,1907FPVT,C,19,,DELL-1907FPVT-MON-C,60
Sage - CMH,Monitors,1176648,MX0DY526742627AO1HJU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1176840,MX0DY526742627BG2EAU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1177029,CN0G313H7426189G355L,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1177030,MX0DY526742628651PRLA00,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1180079,MX0DY526742627AO1PGU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1184908,CN0G313H742618849GNLA00,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1186460,MX0DY526742627BE4RCU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1188207,0G434H,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1188299,CN0FP1827161877HAE5N,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1188588,MX0DY526742627BG1D6U,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1188655,CN0DY8407426184Q4URU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1176660,MX0DY526742627BG1A4U,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1177024,CN0G313H7426187I92TLA00,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1179842,CN0DY8407426184Q75EU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1180082,MX0DY526742627BC2CAU,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1180240,MX0DY526742627BG1A2U,Dell,1908FPb,1908FPb,C,19,,DELL-1908FPB-MON-C,60
Sage - CMH,Monitors,1186576,CN0G438H6418086K17LHA00,Dell,1908FPc,1908FPc,C,19,Missing Base,DELL-1908FPC-MON-C,60
Sage - CMH,Monitors,1179829,CN0G438H641808712UCHA00,Dell,1908FPc,1908FPc,C,19,,DELL-1908FPC-MON-C,60
Sage - CMH,Monitors,1180043,CN0G438H641808BB105L,Dell,1908FPc,1908FPc,C,19,,DELL-1908FPC-MON-C,60
Sage - CMH,Monitors,1188586,CN0UW0426418082S0ALL,Dell,1908FPc,1908FPc,C,19,,DELL-1908FPC-MON-C,60
Sage - CMH,Monitors,1177033,CN0FP1827161877HAEE1,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1177035,CN0FP1827161877EBAA1,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1180219,CN0FP1827161881FAAXE,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1180220,CN0FP1827161885SR458,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1186570,CN0FP1827161877HAESR,Dell,1908FPt,1908FPT,C,19,Missing Base,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1188544,CN0G434H7161887NGL2UA00,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1180041,CN0FP1827161877HAESY,Dell,1908FPt,1908FPT,C,19,,DELL-1908FPT-MON-C,60
Sage - CMH,Monitors,1180228,MX0KW0837248582CBARS,Dell,1908WFPt,1908WFPt,C,19,,DELL-1908WFPT-MON-C,60
Sage - CMH,Monitors,1176630,CN0Y320G7426197D62AS,Dell,1909Wb,1909Wb,C,19,,DELL-1909WB-MON-C,60
Sage - CMH,Monitors,1176337,CN0Y320G7426197D62US,Dell,1909Wb,1909Wb,C,19,,DELL-1909WB-MON-C,60
Sage - CMH,Monitors,1184900,CN0T571R6418007E14PL,Dell,E1910C,E1910C,C,19,,DELL-E1910C-MON-C,60
Sage - CMH,Monitors,1188281,CN0RW195728727982WWS,Dell,E198WFPf,E198WFPf,C,19,,DELL-E198WFPF-MON-C,60
Sage - CMH,Monitors,1188532,CN0MM2267373179N8EPS,Dell,E198WFPv,E198WFPv,C,19,,DELL-E198WFPV-MON-C,60
Sage - CMH,Monitors,1188536,CN0MM2267373179N8F6S,Dell,E198WFPv,E198WFPv,C,19,,DELL-E198WFPV-MON-C,60
Sage - CMH,Monitors,1183350,CN0M39MD74445224C30U,Dell,P190St,P190St,C,19,,DELL-P190ST-MON-C,60
Sage - CMH,Monitors,1188529,CN077NPN74261146186S,Dell,P1911b,P1911b,C,19,,DELL-P1911B-MON-C,60
Sage - CMH,Monitors,1177154,CN0YGP39728724BMA3RL,Dell,P1914Sf,P1914sf,C,19,,DELL-P1914SF-MON-C,60
Sage - CMH,Monitors,1182826,cn0un4927373185e77mu,Dell,SE198WFPv,SE198WFPv,C,19,,DELL-SE198WFPV-MON-C,60
Sage - CMH,Monitors,1188929,CNP532J0ZX,HP,1940,HP 1940,C,19,,HP-1940-MON-C,60
Sage - CMH,Monitors,1177122,3CQ0153TL7,HP,LE1901w,LE1901w,C,19,,HP-LE1901W-MON-C,60
Sage - CMH,Monitors,1176692,52121813YA,NEC,LC1970NX,LC1970NX2,C,19,,NEC-LC1970NX-MON-C,60
Sage - CMH,Monitors,1180286,PP19HVMSC00361A,Samsung,LF19PPBCB/ZA,LF19PPBCB/ZA,C,19,,SAMSUNG-LF19PPBCB/ZA-MON-C,60
Sage - CMH,Monitors,1188772,CNK8470W8C,HP,L2245wg,L2245wg,C,19.5,,HP-L2245WG-MON-C,60
Sage - CMH,Monitors,1182435,MX0G324H7426219E241L,Dell,2000FPb,2000FPb,C,20,,DELL-2000FPB-MON-C,60
Sage - CMH,Monitors,1176906,CN0C95364663365L09UL,Dell,2007FPB,2007FPB,C,20,,DELL-2007FPB-MON-C,60
Sage - CMH,Monitors,1184888,MX0G324H7426206O135L,Dell,2007FPB,2007FPB,C,20,,DELL-2007FPB-MON-C,60
Sage - CMH,Monitors,1188309,MX0C95367426279R34ES,Dell,2007FPB,2007FPB,C,20,,DELL-2007FPB-MON-C,60
Sage - CMH,Monitors,1180207,CN0G433H71618871GWVUA00,Dell,2009Wt,2009Wt,C,20,,DELL-2009WT-MON-C,60
Sage - CMH,Monitors,1180209,CN0G433H7161887VAT2UA00,Dell,2009Wt,2009Wt,C,20,,DELL-2009WT-MON-C,60
Sage - CMH,Monitors,1160101,CN0H5J5G744450C2210S,Dell,E2011Ht,E2011Ht,C,20,,DELL-E2011HT-MON-C,60
Sage - CMH,Monitors,1180009,CN0CK630641807670LTA,Dell,E207WFPc,E207WFPc,C,20,,DELL-E207WFPC-MON-C,60
Sage - CMH,Monitors,1180098,CN0HPHVX7444511OA2QL,Dell,P2011Ht,P2011Ht,C,20,,DELL-P2011HT-MON-C,60
Sage - CMH,Monitors,1108034,CNG73002DP,HP,EF227A,HSTND-2101-G,C,20,,HP-EF227A-MON-C,60
Sage - CMH,Monitors,1184768,811PNKQ01110,NDS SURGICAL IMAGING,GX2MP,GX2MP,C,20,,NDSSURGICALIMAGING-GX2MP-MON-C,60
Sage - CMH,Monitors,1184771,811PNKQ01108,NDS SURGICAL IMAGING,GX2MP,GX2MP,C,20,,NDSSURGICALIMAGING-GX2MP-MON-C,60
Sage - CMH,Monitors,1075827,91604934485,Acer,V226HQL,V226HQL,C,21.5,,ACER-V226HQL-MON-C,60
Sage - CMH,Monitors,1075474,CN02Y31571618461ACEM,Dell,1703FPT,02Y315,C,22,,DELL-1703FPT-MON-C,70
Sage - CMH,Monitors,1111662,CN0T61167161857KAB57,Dell,1905FP,1905FP,C,22,,DELL-1905FP-MON-C,70
Sage - CMH,Monitors,1179988,MX0W869048323628143A,Dell,1905FP,1905FP,C,22,,DELL-1905FP-MON-C,70
Sage - CMH,Monitors,1075463,CN0F532H71618871BUMMA01,Dell,2208WFPt,0F532H,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1075464,CN0F532H71618871BUAMA01,Dell,2208WFPt,0F532H,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1160090,CN0F532H7444592N218S,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1160093,CN0F532H7161888LA0FS,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1176694,CN0F532H7161886CA0WSA01,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1177139,CN0F532H7444592EA8YS,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1180271,CN0CU889716187ATD1XU,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1188675,CN0F532H7444592EAC1S,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1188677,CN0F532H7444389BFGYS,Dell,2208WFPt,2208WFPt,C,22,,DELL-2208WFPT-MON-C,70
Sage - CMH,Monitors,1075531,CN0H736H7287204926DL,Dell,2209WAf,0H736H,C,22,,DELL-2209WAF-MON-C,70
Sage - CMH,Monitors,1112589,CN0H736H728720792KVL,Dell,2209WAf,2209WAf,C,22,,DELL-2209WAF-MON-C,70
Sage - CMH,Monitors,1176838,CN0H736H7287201A05TL,Dell,2209WAf,2209WAf,C,22,,DELL-2209WAF-MON-C,70
Sage - CMH,Monitors,1180258,CN0H736H7287296G15CL,Dell,2209WAf,2209WAf,C,22,,DELL-2209WAF-MON-C,70
Sage - CMH,Monitors,1179965,CN0H736H728720380TUL,Dell,2209WAf,2209WAf,C,22,,DELL-2209WAF-MON-C,70
Sage - CMH,Monitors,1188595,CN0T808R64180067071L,Dell,E2210c,e2210c,C,22,,DELL-E2210C-MON-C,70
Sage - CMH,Monitors,1179956,MX0P875P7071505R05WL,Dell,E2210Hc,E2210Hc,C,22,,DELL-E2210HC-MON-C,70
Sage - CMH,Monitors,1112740,CN0KU311641807BL11NM,Dell,E228WFPc,E228WFPc,C,22,,DELL-E228WFPC-MON-C,70
Sage - CMH,Monitors,1179961,CN0X764G6418088C1J4MA00,Dell,E228WFPc,E228WFPc,C,22,,DELL-E228WFPC-MON-C,70
Sage - CMH,Monitors,1112564,CN0T776R7287204P1FHL,Dell,P2210F,P2210F,C,22,,DELL-P2210F-MON-C,70
Sage - CMH,Monitors,1075521,CN0NK96N74445186AHES,Dell,P2210t,0NK96N,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1075523,CN0U828K7444503ICFPS,Dell,P2210t,0NK96N,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1110528,CN0U828K7444596S949S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112553,CN0NK96N74445186AH9S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112555,CN0U828K7444506BBYVS,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112559,CN0NK96N7444518V742S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112591,CN0NK96N7444518V960S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112592,CN0NK96N7444518V978S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112594,CN0NK96N7444518I060L,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112596,CN0NK96N7444518V976S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112598,CN0NK96N7444518V962S,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1160063,CN0U828K7444504RDABL,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1160094,CN0U828K7444599QDPBM,Dell,P2210t,P2210t,C,22,,DELL-P2210T-MON-C,70
Sage - CMH,Monitors,1112601,CN0TYXD97444506F849L,Dell,P2211Ht,P2211Ht,C,22,,DELL-P2211HT-MON-C,70
Sage - CMH,Monitors,1176872,MX03X03G7444608N476L,Dell,P2211Ht,P2211Ht,C,22,,DELL-P2211HT-MON-C,70
Sage - CMH,Monitors,1112603,CN0NDMRP7426129T24TM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1112614,CN0NDMRP7426121L29KS,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1112765,CN0NDMRP7426129T2K8M,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1161331,CN0NDMRP7426129M0Y6M,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1161340,CN0NDMRP7426129M0VGM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1177160,cn0ndmrp742612393yds,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1180103,CN0NDMRP7426129M0LFM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1180217,CN0NDMRP7426129T2KWM,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
Sage - CMH,Monitors,1180273,CN0NDMRP7426129T1U6M,Dell,P2212Hb,P2212Hb,C,22,,DELL-P2212HB-MON-C,70
